id;name;description;status;price;size;image;image_content_type
1;Generic Steel Tuna;../fake-data/blob/hipster.txt;OUT_OF_STOCK;81236;NORMAL;../fake-data/blob/hipster.png;image/png
2;wireless Computer;../fake-data/blob/hipster.txt;AVAILABLE;86953;NORMAL;../fake-data/blob/hipster.png;image/png
3;Centers Steel Credit Card Account;../fake-data/blob/hipster.txt;OUT_OF_STOCK;43291;SPECIAL;../fake-data/blob/hipster.png;image/png
4;Internal compressing;../fake-data/blob/hipster.txt;AVAILABLE;60561;NORMAL;../fake-data/blob/hipster.png;image/png
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;../fake-data/blob/hipster.txt;OUT_OF_STOCK;80588;SPECIAL;../fake-data/blob/hipster.png;image/png
6;COM Personal Loan Account yellow;../fake-data/blob/hipster.txt;AVAILABLE;27546;NORMAL;../fake-data/blob/hipster.png;image/png
7;CSS Liaison;../fake-data/blob/hipster.txt;AVAILABLE;88935;SPECIAL;../fake-data/blob/hipster.png;image/png
8;methodical;../fake-data/blob/hipster.txt;OUT_OF_STOCK;57905;SPECIAL;../fake-data/blob/hipster.png;image/png
9;Fantastic;../fake-data/blob/hipster.txt;OUT_OF_STOCK;25082;NORMAL;../fake-data/blob/hipster.png;image/png
10;Harbors backing up;../fake-data/blob/hipster.txt;AVAILABLE;6953;SPECIAL;../fake-data/blob/hipster.png;image/png
